"","class","tattoos","sleep","smoke","music","shoesize","piercing","residentialpref","number","cannabis","vape","tobacco","heightcm","heightin"
"1","Sophomore",1,6.5,"No.","Rock",6,8,"Rural (Small town)",4,FALSE,FALSE,FALSE,157.48,62
"2","Senior",4,7,"Yes\, cannabis.","Hip hop",9.6,0,"Suburban",7,TRUE,FALSE,FALSE,177,70
"3","Sophomore",0,7.5,"Yes, cannabis.","Hip hop",7,0,"Suburban",2,TRUE,FALSE,FALSE,155,61.0236220472441
"4","Sophomore",0,8,"Yes, cannabis.","Rock",7.5,0,"Suburban",8,TRUE,FALSE,FALSE,167.64,66
"5","Senior",0,4,"Yes\, vapes.,Yes\, tobacco/cigarettes.","Electronic",8,2,"Urban/City",8,FALSE,TRUE,TRUE,165,65
"6","Sophomore",0,6.5,"No.","Country",7.5,5,"Rural (Small town)",7,FALSE,FALSE,FALSE,170.18,67
"7","Sophomore",1,7,"No.","Rock",8.5,4,"Suburban",8,FALSE,FALSE,FALSE,180.34,71
"8","Senior",2,7,"Yes\, cannabis.","Rock",8.5,2,"Urban/City",9,TRUE,FALSE,FALSE,172.72,68
"9","Freshman",0,8,"No.","Pop",8,0,"Urban",5,FALSE,FALSE,FALSE,160.02,63
"10","Junior",0,6.5,"No.","Hip hop",6.5,2,"Suburban",7.3,FALSE,FALSE,FALSE,165,64.9606299212598
"11","Sophomore",0,6.5,"No.","Pop",12,0,"Suburban",1.5,FALSE,FALSE,FALSE,182.88,72
"12","Senior",0,8,"No.","Pop",8,2,"Suburban",10,FALSE,FALSE,FALSE,165.1,65
"13","Sophomore",1,8,"Yes, cannabis.","Other",8,11,"Suburban",4,TRUE,FALSE,FALSE,160.02,63
"14","Junior",0,8,"No.","Hip hop",9,0,"Rural (Small town)",8,FALSE,FALSE,FALSE,175,68.8976377952756
"15","Sophomore",1,8,"No.","Country",6,2,"Rural (Small town)",5,FALSE,FALSE,FALSE,160,62.992125984252
"16","Sophomore",0,6.5,"No.","Hip hop",8.5,0,"Rural (Small town)",8,FALSE,FALSE,FALSE,167.64,66
"17","Sophomore",0,7,"Yes\, cannabis.","Hip hop",7.5,3,"Urban/City",7,TRUE,FALSE,FALSE,162.56,64
"18","Junior",0,6,"No.","Pop",8.5,4,"Urban",5.17,FALSE,FALSE,FALSE,172.72,68
"19","Senior",0,7,"No.","Pop",11,0,"Urban/City",2,FALSE,FALSE,FALSE,177.8,70
"20","Sophomore",0,6,"No.","Indie",8.5,2,"Suburban",7,FALSE,FALSE,FALSE,162.56,64
"21","Sophomore",0,7,"No.","Pop",9,4,"Urban/City",7,FALSE,FALSE,FALSE,170.18,67
"22","Freshman",0,8,"No.","Hip hop",8,2,"Urban/City",7,FALSE,FALSE,FALSE,168,66
"23","Sophomore",0,8,"No.","Country",9,2,"Suburban",9.78,FALSE,FALSE,FALSE,158.4,62.3622047244095
"24","Sophomore",0,7,"No.","Pop",7,4,"Urban",4,FALSE,FALSE,FALSE,154.94,61
"25","Sophomore",0,6.5,"No.","Rock",5.5,5,"Rural (Small town)",3,FALSE,FALSE,FALSE,162,63.7795275590551
"26","Senior",5,7.5,"No.","Other",9,0,"Suburban",10,FALSE,FALSE,FALSE,170,66.9291338582677
"27","Junior",0,7,"No.","Electronic",11,0,"Suburban",9,FALSE,FALSE,FALSE,182.88,72
"28","Sophomore",0,6,"No.","Rock",6.5,2,"Urban",7.1,FALSE,FALSE,FALSE,150,59.0551181102362
"29","Junior",0,7,"No.","Hip hop",11,0,"Rural (Small town)",8,FALSE,FALSE,FALSE,190,74.8031496062992
"30","Sophomore",1,7.5,"No.","Indie",7,7,"Urban",8,FALSE,FALSE,FALSE,162.56,64
"31","Freshman",0,7.5,"No.","Pop",11,0,"Suburban",5,FALSE,FALSE,FALSE,182.88,72
"32","Super Senior +",0,6.5,"No.","Pop",10.5,0,"Urban",5,FALSE,FALSE,FALSE,180.34,71
"33","Sophomore",2,6,"No.","Other",8.5,8,"Very Rural (Woods/Desert)",5,FALSE,FALSE,FALSE,162.59,64.011811023622
"34","Sophomore",0,6.5,"Yes, cannabis.","Indie",8,4,"Suburban",7.666,TRUE,FALSE,FALSE,162,63.7795275590551
"35","Sophomore",0,7.5,"No.","Hip hop",7,5,"Suburban",9,FALSE,FALSE,FALSE,167.6,65.9842519685039
"36","Senior",0,7,"Yes\, vapes.","Other",8.5,0,"Urban/City",7,FALSE,TRUE,FALSE,176.784,69.6
"37","Sophomore",0,7,"No.","Other",8,0,"Suburban",3.3,FALSE,FALSE,FALSE,171.45,67.5
"38","Senior",0,6,"Yes\, cannabis.,Yes\, vapes.,Yes\, tobacco/cigarettes.","Other",5,6,"Suburban",7.5,TRUE,TRUE,TRUE,161.29,63.5
"39","Sophomore",1,6,"No.","Country",7,4,"Suburban",4.3,FALSE,FALSE,FALSE,165.1,65
"40","Freshman",0,8,"No.","Hip hop",10,0,"Urban/City",6,FALSE,FALSE,FALSE,183,72
"41","Senior",0,6,"No.","Pop",7,2,"Suburban",4,FALSE,FALSE,FALSE,154.94,61
"42","Freshman",1,8,"No.","Pop",8,2,"Urban/City",6,FALSE,FALSE,FALSE,170,67
"43","Sophomore",0,7.5,"No.","Pop",7,0,"Urban",7,FALSE,FALSE,FALSE,162.56,64
"44","Senior",2,8.5,"Yes, cannabis.","Electronic",8,9,"Urban",2.2347,TRUE,FALSE,FALSE,170.2,67.007874015748
"45","Senior",0,6.5,"No.","Rock",7.5,7,"Urban",9,FALSE,FALSE,FALSE,168.91,66.5
"46","Junior",1,6.5,"Yes\, cannabis.,Yes\, vapes.,Yes\, tobacco/cigarettes.","Other",10,1,"Rural (Small town)",6,TRUE,TRUE,TRUE,188,74.0157480314961
"47","Freshman",0,7.5,"No.","Rock",6,0,"Rural (Small town)",2,FALSE,FALSE,FALSE,160.02,63
"48","Junior",0,8,"No.","Other",8.5,0,"Urban/City",2,FALSE,FALSE,FALSE,162.56,5.4
"49","Sophomore",0,6,"No.","Classical",7,2,"Urban",8,FALSE,FALSE,FALSE,167,65.748031496063
"50","Sophomore",0,7.5,"No.","Other",9,2,"Suburban",3,FALSE,FALSE,FALSE,177.8,70
"51","Sophomore",0,5.5,"No.","Pop",7.5,2,"Urban",7,FALSE,FALSE,FALSE,154.94,61
"52","Junior",0,7.5,"No.","Hip hop",8.5,0,"Urban/City",4,FALSE,FALSE,FALSE,170.18,67
"53","Sophomore",0,8,"Yes, cannabis.","Indie",11,2,"Suburban",2,TRUE,FALSE,TRUE,179.8,70.7874015748032
"54","Junior",0,7,"No.","Pop",9.5,0,"Suburban",7,FALSE,FALSE,FALSE,176,69.2913385826772
"55","Junior",0,6,"No.","Indie",9,2,"Suburban",3.14,FALSE,FALSE,FALSE,167.64,66
"56","Freshman",0,7.1,"No.","Pop",9,2,"Suburban",9,FALSE,FALSE,FALSE,175.26,69
"57","Sophomore",0,6,"No.","Electronic",9.5,0,"Rural (Small town)",7,FALSE,FALSE,FALSE,172.72,68
"58","Junior",1,8,"Yes\, cannabis.","Hip hop",10,2,"Urban/City",7,TRUE,FALSE,FALSE,182,72
"59","Sophomore",0,7,"Yes\, cannabis.","Hip hop",11,0,"Suburban",3,TRUE,FALSE,FALSE,182.88,72
"60","Sophomore",0,6,"No.","Hip hop",12,1,"Rural (Small town)",9,FALSE,FALSE,FALSE,188.976,74.4
"61","Junior",7,6.5,"No.","Other",7,6,"Suburban",7,FALSE,FALSE,FALSE,157.48,62
"62","Freshman",0,5,"No.","Rock",7,2,"Urban",7,FALSE,FALSE,FALSE,165,64.9606299212598
"63","Sophomore",1,7,"No.","Country",6.5,14,"Rural (Small town)",5,FALSE,FALSE,FALSE,157.48,62
"64","Sophomore",0,8.5,"Yes, cannabis.","Hip hop",9,6,"Suburban",7,TRUE,FALSE,FALSE,172.88,68.0629921259843
"65","Sophomore",1,7.5,"No.","Pop",7.5,1,"Urban",2.22,FALSE,FALSE,FALSE,167.64,66
"66","Sophomore",0,7.5,"No.","Pop",6,5,"Rural (Small town)",7,FALSE,FALSE,FALSE,158.496,62.4
"67","Freshman",0,8,"No.","Other",10.5,0,"Suburban",7,FALSE,FALSE,FALSE,177.8,70
"68","Sophomore",0,7,"No.","Pop",5,0,"Suburban",3.14,FALSE,FALSE,FALSE,149.225,58.75
"69","Senior",0,7.5,"No.","Pop",7,0,"Urban",7,FALSE,FALSE,FALSE,167.64,66
"70","Sophomore",0,6.5,"No.","Other",8,2,"Suburban",7,FALSE,FALSE,FALSE,162.56,64
"71","Sophomore",0,7.5,"No.","Hip hop",10,0,"Rural (Small town)",7,FALSE,FALSE,FALSE,170.18,67
"72","Junior",0,8,"No.","Indie",8,0,"Urban",7,FALSE,FALSE,FALSE,175,68.8976377952756
"73","Sophomore",0,6,"Yes, cannabis.","Indie",8,0,"Rural (Small town)",7,TRUE,FALSE,FALSE,162.56,64
"74","Sophomore",0,7,"Yes, cannabis.","Electronic",11,0,"Rural (Small town)",10,TRUE,FALSE,FALSE,182.88,72
"75","Sophomore",0,6.5,"No.","Hip hop",8.5,5,"Suburban",7,FALSE,FALSE,FALSE,172.08,67.748031496063
"76","Freshman",0,6.5,"No.","Indie",9,0,"Suburban",3,FALSE,FALSE,FALSE,172.72,68
"77","Junior",0,11,"No.","Electronic",6.5,1,"Rural (Small town)",7,FALSE,FALSE,FALSE,158,62.2
"78","Sophomore",0,6.5,"No.","Other",9,7,"Rural (Small town)",3,FALSE,FALSE,FALSE,162.56,64
"79","Freshman",0,8.5,"No.","Hip hop",10.5,0,"Rural (Small town)",6,FALSE,FALSE,FALSE,172.72,68
"80","Sophomore",1,6,"No.","Pop",7,2,"Suburban",2,FALSE,FALSE,FALSE,157.5,62.007874015748
"81","Sophomore",0,6.5,"No.","Rock",8.5,4,"Suburban",4.44,FALSE,FALSE,FALSE,165.0999,64.9999606299213
"82","Sophomore",3,6,"No.","Hip hop",10.5,0,"Urban",6,FALSE,FALSE,FALSE,172.2,67.7952755905512
"83","Freshman",0,7,"No.","Pop",11,0,"Urban/City",2,FALSE,FALSE,FALSE,172.72,68
"84","Sophomore",0,6,"Yes, cannabis.","Hip hop",10.5,0,"Suburban",5,TRUE,FALSE,TRUE,182.88,72
"85","Sophomore",0,7.5,"No.","Other",9.5,0,"Rural (Small town)",6.9,FALSE,FALSE,FALSE,162.5,63.9763779527559
"86","Sophomore",0,7.5,"No.","Pop",8,0,"Urban",5,FALSE,FALSE,FALSE,180,70.8661417322835
"87","Sophomore",0,5.5,"No.","Pop",8.5,0,"Suburban",5,FALSE,FALSE,FALSE,172,67.7165354330709
"88","Sophomore",0,7,"No.","Pop",9.5,0,"Suburban",6,FALSE,FALSE,FALSE,180,70.8661417322835
